group,model_name,model_url,type,url_extra,license
East,Qwen 3 8B,https://huggingface.co/Qwen/Qwen3-Embedding-8B,embedding,#sentence-transformers-usage,Apache 2.0
East,Qwen 3 0.6B,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,embedding,#sentence-transformers-usage,Apache 2.0
East,GTE Qwen2 7B,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct,embedding,#sentence-transformers,Apache 2.0
East,GTE Qwen2 1.5B,https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct,embedding,#sentence-transformers,Apache 2.0
East,GTE Multilingual Base,https://huggingface.co/Alibaba-NLP/gte-multilingual-base,embedding,#use-with-sentence-transformers,Apache 2.0
East,BGE M3,https://huggingface.co/BAAI/bge-m3,embedding,#generate-embedding-for-text,MIT
West,Gemma 300M,https://huggingface.co/google/embeddinggemma-300m,embedding,#usage,Gemma (Gated)
West,Granite 278M,https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual,embedding," ",Apache 2.0
West,Nemotron 8B,https://huggingface.co/nvidia/llama-embed-nemotron-8b,embedding,#usage,customized-nscl-v1 NC
West,NV-Embed-v2,https://huggingface.co/nvidia/NV-Embed-v2,embedding,#usage-sentence-transformers,CC-BY-NC 4.0
West,SFR Mistral,https://huggingface.co/Salesforce/SFR-Embedding-Mistral,embedding,#sentence-transformers,CC-BY-NC 4.0
West,Nomic v2,https://huggingface.co/nomic-ai/nomic-embed-text-v2-moe,embedding,#sentencetransformers,Apache 2.0
West,Nomic v1.5,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,embedding,#sentence-transformers,Apache 2.0
West,Jina v4,https://huggingface.co/jinaai/jina-embeddings-v4,embedding,#usage,Qwen Research License NC
West,Jina v3,https://huggingface.co/jinaai/jina-embeddings-v3,embedding,#usage,CC-BY-NC 4.0
Academia,all-MPNet-base-v2,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,embedding,#usage-sentence-transformers,Apache 2.0
Academia,all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,embedding,#usage-sentence-transformers,Apache 2.0