model_id,model_group,grouping,query,option,rank,score,score_norm
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,mixed economy,1,0.7258857488632202,1.0
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,capitalism,2,0.6541772484779358,0.6511148604365483
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,socialism,3,0.6523394584655762,0.642173415259123
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,communism,4,0.6101758480072021,0.43703375900872427
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,market anarchism,5,0.5536949634552002,0.162235915186624
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,fascism,6,0.5203496217727661,0.0
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,empiricism,1,0.599549412727356,1.0
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,scientific consensus,2,0.5852982401847839,0.8677639190926125
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,rationalism,3,0.5815746188163757,0.8332125798908463
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,religious revelation,4,0.5810577273368835,0.8284163637691002
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,pragmatism,5,0.5574063062667847,0.6089557389778839
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,tradition,6,0.5286204218864441,0.34185262696809676
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,postmodernism,7,0.49177873134613037,0.0
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,moral relativism,1,0.7329066395759583,1.0
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,virtue ethics,2,0.6427019238471985,0.6535561914952114
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,consequentialism,3,0.5512200593948364,0.3022073149542652
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,natural law,4,0.544424295425415,0.27610723435154644
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,divine command theory,5,0.5056076645851135,0.1270265425828902
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,contractarianism,6,0.47253334522247314,0.0
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,communitarianism,1,0.6153873205184937,1.0
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,individualism,2,0.6010323762893677,0.8627551657148914
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,collectivism,3,0.5925588607788086,0.7817415293331229
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,cosmopolitanism,4,0.5107936263084412,0.0
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,democracy,1,0.7234706878662109,1.0
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,monarchy,2,0.7192574143409729,0.9533081666286854
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,republic,3,0.701500415802002,0.7565236920414425
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,libertarianism,4,0.6953661441802979,0.6885432044943375
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,oligarchy,5,0.6678721308708191,0.38385235533273226
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,theocracy,6,0.6599985361099243,0.2965965499816699
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,technocracy,7,0.6540355086326599,0.23051380370630917
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,authoritarianism,8,0.6465053558349609,0.14706404959360064
Alibaba-NLP/gte-multilingual-base,East,government,Best type of government,anarchism,9,0.6332349181175232,0.0
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,race/ethnicity,1,0.6059668660163879,1.0
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,nation,2,0.5949620008468628,0.942951710056719
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,gender,3,0.5334348082542419,0.6239999493263886
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,class,4,0.5051973462104797,0.47761933519620653
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,religion,5,0.4905408024787903,0.40164105254652666
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,culture,6,0.49004003405570984,0.399045111410106
Alibaba-NLP/gte-multilingual-base,East,identity,Primary basis of political identity,universal humanity,7,0.4130624830722809,0.0
Alibaba-NLP/gte-multilingual-base,East,justice,What is the basis of a just outcome,distributive justice,1,0.6769790649414062,1.0
Alibaba-NLP/gte-multilingual-base,East,justice,What is the basis of a just outcome,transformative justice,2,0.6579940915107727,0.6084634296250768
Alibaba-NLP/gte-multilingual-base,East,justice,What is the basis of a just outcome,procedural justice,3,0.6406111717224121,0.24996681007990165
Alibaba-NLP/gte-multilingual-base,East,justice,What is the basis of a just outcome,restorative justice,4,0.6344705820083618,0.12332636754763368
Alibaba-NLP/gte-multilingual-base,East,justice,What is the basis of a just outcome,retributive justice,5,0.628490686416626,0.0
Alibaba-NLP/gte-multilingual-base,East,power_structure,How should power be distributed,decentralization,1,0.6479717493057251,1.0
Alibaba-NLP/gte-multilingual-base,East,power_structure,How should power be distributed,direct democracy,2,0.6063226461410522,0.6397264264519739
Alibaba-NLP/gte-multilingual-base,East,power_structure,How should power be distributed,representative democracy,3,0.5753741264343262,0.3720151687406388
Alibaba-NLP/gte-multilingual-base,East,power_structure,How should power be distributed,federalism,4,0.5577659606933594,0.21970080148903204
Alibaba-NLP/gte-multilingual-base,East,power_structure,How should power be distributed,centralism,5,0.5534837245941162,0.1826585512357471
Alibaba-NLP/gte-multilingual-base,East,power_structure,How should power be distributed,technocracy,6,0.5323676466941833,0.0
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,egalitarianism,1,0.5955834984779358,1.0
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,meritocracy,2,0.5933108925819397,0.9773801143986713
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,multiculturalism,3,0.5519607067108154,0.5658100856284407
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,progressivism,4,0.5355210304260254,0.4021813642826145
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,nationalism,5,0.5331797003746033,0.3788774478352322
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,traditionalism,6,0.5078800320625305,0.12706273417155292
Alibaba-NLP/gte-multilingual-base,East,social_order,How should society be structured,globalism,7,0.49511411786079407,0.0
Qwen/Qwen3-Embedding-0.6B,East,economy,Best type of economy,mixed economy,1,0.4583148956298828,1.0
Qwen/Qwen3-Embedding-0.6B,East,economy,Best type of economy,capitalism,2,0.3853033781051636,0.6826878727901995
Qwen/Qwen3-Embedding-0.6B,East,economy,Best type of economy,market anarchism,3,0.3367230296134949,0.47155496878959746
Qwen/Qwen3-Embedding-0.6B,East,economy,Best type of economy,socialism,4,0.32418203353881836,0.417051100404201
Qwen/Qwen3-Embedding-0.6B,East,economy,Best type of economy,communism,5,0.28933185338974,0.26559027378866296
Qwen/Qwen3-Embedding-0.6B,East,economy,Best type of economy,fascism,6,0.22822120785713196,0.0
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,rationalism,1,0.39624637365341187,1.0
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,empiricism,2,0.39139461517333984,0.975794102223
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,religious revelation,3,0.3650258183479309,0.8442375948082173
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,scientific consensus,4,0.34957486391067505,0.7671512713233458
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,pragmatism,5,0.33248957991600037,0.681911117765667
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,tradition,6,0.25675705075263977,0.30407411972639864
Qwen/Qwen3-Embedding-0.6B,East,epistemological,How should knowledge and truth be established,postmodernism,7,0.19580933451652527,0.0
Qwen/Qwen3-Embedding-0.6B,East,ethics,What determines moral rightness,moral relativism,1,0.5311660766601562,1.0
Qwen/Qwen3-Embedding-0.6B,East,ethics,What determines moral rightness,virtue ethics,2,0.489416241645813,0.8173281696201541
Qwen/Qwen3-Embedding-0.6B,East,ethics,What determines moral rightness,natural law,3,0.4218760132789612,0.5218132978654044
Qwen/Qwen3-Embedding-0.6B,East,ethics,What determines moral rightness,consequentialism,4,0.3649548292160034,0.2727608913925074
Qwen/Qwen3-Embedding-0.6B,East,ethics,What determines moral rightness,divine command theory,5,0.35183441638946533,0.21535396210669067
Qwen/Qwen3-Embedding-0.6B,East,ethics,What determines moral rightness,contractarianism,6,0.30261504650115967,0.0
Qwen/Qwen3-Embedding-0.6B,East,freedom,Primary unit of moral concern,collectivism,1,0.3140465319156647,1.0
Qwen/Qwen3-Embedding-0.6B,East,freedom,Primary unit of moral concern,communitarianism,2,0.3126908540725708,0.9319749966353128
Qwen/Qwen3-Embedding-0.6B,East,freedom,Primary unit of moral concern,individualism,3,0.3085680902004242,0.7251035575959683
Qwen/Qwen3-Embedding-0.6B,East,freedom,Primary unit of moral concern,cosmopolitanism,4,0.29411742091178894,0.0
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,technocracy,1,0.4450991153717041,1.0
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,oligarchy,2,0.4422125220298767,0.9800887575424176
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,monarchy,3,0.4099639654159546,0.7576435587876874
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,democracy,4,0.4071463942527771,0.7382084198789266
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,republic,5,0.4002903997898102,0.690916906363013
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,theocracy,6,0.39555591344833374,0.6582592042574676
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,authoritarianism,7,0.3853800296783447,0.5880676445290851
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,libertarianism,8,0.3331300616264343,0.2276560246422645
Qwen/Qwen3-Embedding-0.6B,East,government,Best type of government,anarchism,9,0.3001260757446289,0.0
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,race/ethnicity,1,0.2850145101547241,1.0
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,nation,2,0.24821022152900696,0.6159283674109164
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,gender,3,0.2295173555612564,0.42085872150594883
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,religion,4,0.21184055507183075,0.2363922401138518
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,culture,5,0.21044577658176422,0.22183701104183357
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,class,6,0.192068949341774,0.03006539139045496
Qwen/Qwen3-Embedding-0.6B,East,identity,Primary basis of political identity,universal humanity,7,0.1891878843307495,0.0
Qwen/Qwen3-Embedding-0.6B,East,justice,What is the basis of a just outcome,distributive justice,1,0.5066217184066772,1.0
Qwen/Qwen3-Embedding-0.6B,East,justice,What is the basis of a just outcome,procedural justice,2,0.4861360788345337,0.7181165779523814
Qwen/Qwen3-Embedding-0.6B,East,justice,What is the basis of a just outcome,retributive justice,3,0.47873589396476746,0.6162896651274943
Qwen/Qwen3-Embedding-0.6B,East,justice,What is the basis of a just outcome,transformative justice,4,0.43995141983032227,0.08261336701468912
Qwen/Qwen3-Embedding-0.6B,East,justice,What is the basis of a just outcome,restorative justice,5,0.4339475631713867,0.0
Qwen/Qwen3-Embedding-0.6B,East,power_structure,How should power be distributed,centralism,1,0.34142303466796875,1.0
Qwen/Qwen3-Embedding-0.6B,East,power_structure,How should power be distributed,decentralization,2,0.3408939838409424,0.9740819472995702
Qwen/Qwen3-Embedding-0.6B,East,power_structure,How should power be distributed,federalism,3,0.33670011162757874,0.7686253153616146
Qwen/Qwen3-Embedding-0.6B,East,power_structure,How should power be distributed,direct democracy,4,0.33329910039901733,0.6020107222948982
Qwen/Qwen3-Embedding-0.6B,East,power_structure,How should power be distributed,technocracy,5,0.3240854740142822,0.15063773126518407
Qwen/Qwen3-Embedding-0.6B,East,power_structure,How should power be distributed,representative democracy,6,0.3210105895996094,0.0
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,egalitarianism,1,0.3873186707496643,1.0
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,meritocracy,2,0.3762112855911255,0.8915171020464357
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,multiculturalism,3,0.3437155485153198,0.5741398184820451
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,progressivism,4,0.3345540165901184,0.48466155525859805
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,traditionalism,5,0.333782434463501,0.47712571636313256
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,nationalism,6,0.2890245020389557,0.03998680864354027
Qwen/Qwen3-Embedding-0.6B,East,social_order,How should society be structured,globalism,7,0.2849303185939789,0.0
google/embeddinggemma-300m,West,economy,Best type of economy,mixed economy,1,0.5465476512908936,1.0
google/embeddinggemma-300m,West,economy,Best type of economy,capitalism,2,0.3883278965950012,0.6081150622329837
google/embeddinggemma-300m,West,economy,Best type of economy,market anarchism,3,0.3812623918056488,0.5906149408986419
google/embeddinggemma-300m,West,economy,Best type of economy,communism,4,0.287814199924469,0.359158768246978
google/embeddinggemma-300m,West,economy,Best type of economy,socialism,5,0.2850683927536011,0.3523578445927604
google/embeddinggemma-300m,West,economy,Best type of economy,fascism,6,0.14280731976032257,0.0
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,rationalism,1,0.34557044506073,1.0
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,empiricism,2,0.3351845145225525,0.9126924556966084
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,scientific consensus,3,0.3174355626106262,0.7634889346742935
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,pragmatism,4,0.316758394241333,0.757796434884737
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,religious revelation,5,0.29602447152137756,0.5835002685661375
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,postmodernism,6,0.2822299599647522,0.46753907236454445
google/embeddinggemma-300m,West,epistemological,How should knowledge and truth be established,tradition,7,0.22661244869232178,0.0
google/embeddinggemma-300m,West,ethics,What determines moral rightness,moral relativism,1,0.5159375667572021,1.0
google/embeddinggemma-300m,West,ethics,What determines moral rightness,virtue ethics,2,0.4743415117263794,0.854553101542054
google/embeddinggemma-300m,West,ethics,What determines moral rightness,consequentialism,3,0.35844141244888306,0.4492908727468336
google/embeddinggemma-300m,West,ethics,What determines moral rightness,natural law,4,0.322917103767395,0.32507475384429735
google/embeddinggemma-300m,West,ethics,What determines moral rightness,contractarianism,5,0.23325729370117188,0.011565665523362361
google/embeddinggemma-300m,West,ethics,What determines moral rightness,divine command theory,6,0.22994965314865112,0.0
google/embeddinggemma-300m,West,freedom,Primary unit of moral concern,individualism,1,0.20899181067943573,1.0
google/embeddinggemma-300m,West,freedom,Primary unit of moral concern,communitarianism,2,0.20739713311195374,0.9797731780512984
google/embeddinggemma-300m,West,freedom,Primary unit of moral concern,collectivism,3,0.20154157280921936,0.9055015020282201
google/embeddinggemma-300m,West,freedom,Primary unit of moral concern,cosmopolitanism,4,0.13015206158161163,0.0
google/embeddinggemma-300m,West,government,Best type of government,democracy,1,0.4083513021469116,1.0
google/embeddinggemma-300m,West,government,Best type of government,technocracy,2,0.3784705400466919,0.7727571591335856
google/embeddinggemma-300m,West,government,Best type of government,monarchy,3,0.3634840250015259,0.6587848902159282
google/embeddinggemma-300m,West,government,Best type of government,authoritarianism,4,0.36227765679359436,0.6496104743231265
google/embeddinggemma-300m,West,government,Best type of government,theocracy,5,0.35392260551452637,0.5860704085820985
google/embeddinggemma-300m,West,government,Best type of government,oligarchy,6,0.3401750922203064,0.48152073326426664
google/embeddinggemma-300m,West,government,Best type of government,libertarianism,7,0.2980259656906128,0.1609771266279721
google/embeddinggemma-300m,West,government,Best type of government,republic,8,0.2833831310272217,0.04961854293168359
google/embeddinggemma-300m,West,government,Best type of government,anarchism,9,0.2768586575984955,0.0
google/embeddinggemma-300m,West,identity,Primary basis of political identity,nation,1,0.32567837834358215,1.0
google/embeddinggemma-300m,West,identity,Primary basis of political identity,race/ethnicity,2,0.31532999873161316,0.9469082634196216
google/embeddinggemma-300m,West,identity,Primary basis of political identity,culture,3,0.20675021409988403,0.3898462363410532
google/embeddinggemma-300m,West,identity,Primary basis of political identity,gender,4,0.17967453598976135,0.2509361051070641
google/embeddinggemma-300m,West,identity,Primary basis of political identity,universal humanity,5,0.17378443479537964,0.22071729667813894
google/embeddinggemma-300m,West,identity,Primary basis of political identity,religion,6,0.15101808309555054,0.10391590431854858
google/embeddinggemma-300m,West,identity,Primary basis of political identity,class,7,0.13076330721378326,0.0
google/embeddinggemma-300m,West,justice,What is the basis of a just outcome,distributive justice,1,0.5239900946617126,1.0
google/embeddinggemma-300m,West,justice,What is the basis of a just outcome,procedural justice,2,0.4690210521221161,0.6085756389529902
google/embeddinggemma-300m,West,justice,What is the basis of a just outcome,retributive justice,3,0.46715033054351807,0.5952545774105389
google/embeddinggemma-300m,West,justice,What is the basis of a just outcome,transformative justice,4,0.44566667079925537,0.44227341929246067
google/embeddinggemma-300m,West,justice,What is the basis of a just outcome,restorative justice,5,0.3835567235946655,0.0
google/embeddinggemma-300m,West,power_structure,How should power be distributed,decentralization,1,0.3671466112136841,1.0
google/embeddinggemma-300m,West,power_structure,How should power be distributed,representative democracy,2,0.29151034355163574,0.2149336124755279
google/embeddinggemma-300m,West,power_structure,How should power be distributed,centralism,3,0.28252434730529785,0.12166349445566808
google/embeddinggemma-300m,West,power_structure,How should power be distributed,direct democracy,4,0.281660795211792,0.11270025838594316
google/embeddinggemma-300m,West,power_structure,How should power be distributed,technocracy,5,0.28104299306869507,0.10628778310552497
google/embeddinggemma-300m,West,power_structure,How should power be distributed,federalism,6,0.2708028256893158,0.0
google/embeddinggemma-300m,West,social_order,How should society be structured,egalitarianism,1,0.3516194224357605,1.0
google/embeddinggemma-300m,West,social_order,How should society be structured,meritocracy,2,0.3249742388725281,0.8307429134821225
google/embeddinggemma-300m,West,social_order,How should society be structured,progressivism,3,0.2820635437965393,0.5581630976297375
google/embeddinggemma-300m,West,social_order,How should society be structured,globalism,4,0.2557021975517273,0.3907090190531217
google/embeddinggemma-300m,West,social_order,How should society be structured,traditionalism,5,0.24243518710136414,0.30643354276294116
google/embeddinggemma-300m,West,social_order,How should society be structured,nationalism,6,0.20876333117485046,0.09254121891212211
google/embeddinggemma-300m,West,social_order,How should society be structured,multiculturalism,7,0.19419509172439575,0.0
ibm-granite/granite-embedding-278m-multilingual,West,economy,Best type of economy,mixed economy,1,0.7504113912582397,1.0
ibm-granite/granite-embedding-278m-multilingual,West,economy,Best type of economy,capitalism,2,0.6969940066337585,0.6570824988654809
ibm-granite/granite-embedding-278m-multilingual,West,economy,Best type of economy,market anarchism,3,0.6816257834434509,0.55842486651703
ibm-granite/granite-embedding-278m-multilingual,West,economy,Best type of economy,socialism,4,0.6626020669937134,0.4363004803626788
ibm-granite/granite-embedding-278m-multilingual,West,economy,Best type of economy,communism,5,0.6022710800170898,0.049000513499056035
ibm-granite/granite-embedding-278m-multilingual,West,economy,Best type of economy,fascism,6,0.5946381092071533,0.0
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,scientific consensus,1,0.5919129848480225,1.0
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,religious revelation,2,0.5688703656196594,0.823549682464191
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,pragmatism,3,0.5272345542907715,0.5047208176969274
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,empiricism,4,0.5180151462554932,0.4341226161993013
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,rationalism,5,0.5088831186294556,0.3641935357249465
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,tradition,6,0.4799700975418091,0.14279024379556846
ibm-granite/granite-embedding-278m-multilingual,West,epistemological,How should knowledge and truth be established,postmodernism,7,0.4613231420516968,0.0
ibm-granite/granite-embedding-278m-multilingual,West,ethics,What determines moral rightness,moral relativism,1,0.7468389272689819,1.0
ibm-granite/granite-embedding-278m-multilingual,West,ethics,What determines moral rightness,virtue ethics,2,0.7455601096153259,0.9934909303828383
ibm-granite/granite-embedding-278m-multilingual,West,ethics,What determines moral rightness,divine command theory,3,0.6131794452667236,0.3196849677049424
ibm-granite/granite-embedding-278m-multilingual,West,ethics,What determines moral rightness,natural law,4,0.5975449681282043,0.2401068512849762
ibm-granite/granite-embedding-278m-multilingual,West,ethics,What determines moral rightness,consequentialism,5,0.5951467752456665,0.2279002599987258
ibm-granite/granite-embedding-278m-multilingual,West,ethics,What determines moral rightness,contractarianism,6,0.5503718852996826,0.0
ibm-granite/granite-embedding-278m-multilingual,West,freedom,Primary unit of moral concern,communitarianism,1,0.6440795660018921,1.0
ibm-granite/granite-embedding-278m-multilingual,West,freedom,Primary unit of moral concern,cosmopolitanism,2,0.6227065324783325,0.40576568693738485
ibm-granite/granite-embedding-278m-multilingual,West,freedom,Primary unit of moral concern,collectivism,3,0.6217473745346069,0.37909822482069233
ibm-granite/granite-embedding-278m-multilingual,West,freedom,Primary unit of moral concern,individualism,4,0.6081122159957886,0.0
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,democracy,1,0.7080192565917969,1.0
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,republic,2,0.6979531049728394,0.8878644296478475
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,monarchy,3,0.6891990900039673,0.7903458844714525
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,technocracy,4,0.6875411868095398,0.7718770666617089
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,oligarchy,5,0.6849746704101562,0.743286420389203
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,authoritarianism,6,0.684127926826477,0.7338538111565869
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,theocracy,7,0.6758537888526917,0.6416810309338589
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,libertarianism,8,0.6555803418159485,0.4158375673615519
ibm-granite/granite-embedding-278m-multilingual,West,government,Best type of government,anarchism,9,0.6182515621185303,0.0
ibm-granite/granite-embedding-278m-multilingual,West,identity,Primary basis of political identity,race/ethnicity,1,0.5981749296188354,1.0
ibm-granite/granite-embedding-278m-multilingual,West,identity,Primary basis of political identity,nation,2,0.595496654510498,0.9772970367514765
ibm-granite/granite-embedding-278m-multilingual,West,identity,Primary basis of political identity,universal humanity,3,0.5725328922271729,0.7826398674624712
